baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
419.52	1.68	0.38	4.41	1.02e-05	6.77e-05	AHSA1
2341.15	1.47	0.33	4.41	1.04e-05	6.93e-05	SNORA67
599.46	1.87	0.42	4.41	1.05e-05	6.94e-05	RARRES3
1679.68	1.43	0.32	4.4	1.08e-05	7.15e-05	STARD7
9970.26	-3.23	0.74	-4.4	1.09e-05	7.2e-05	DCAF12
2413.85	1.52	0.35	4.39	1.14e-05	7.49e-05	PRKCH
1304.79	1.36	0.31	4.39	1.15e-05	7.55e-05	NECAP2
401.1	1.71	0.39	4.39	1.15e-05	7.56e-05	POLR3GL
4281.59	2.25	0.51	4.38	1.18e-05	7.72e-05	SH3BGRL2
8680.34	1.47	0.34	4.37	1.25e-05	8.14e-05	SNORA57
2179	1.4	0.32	4.37	1.25e-05	8.14e-05	EIF3C
1876.94	1.76	0.4	4.36	1.31e-05	8.47e-05	SNHG22
3471.08	-1.5	0.34	-4.35	1.33e-05	8.58e-05	GADD45B
3684.09	1.42	0.33	4.35	1.34e-05	8.65e-05	RAB11A
26047.51	1.45	0.33	4.35	1.35e-05	8.68e-05	SNORD15B
972.08	1.21	0.28	4.35	1.38e-05	8.83e-05	GOLPH3
477.66	1.97	0.45	4.34	1.4e-05	8.95e-05	POLR2G
777.54	-2.32	0.53	-4.34	1.42e-05	9.02e-05	RAB21
2012.76	1.8	0.42	4.34	1.42e-05	9.06e-05	NT5C3A
2587.43	-1.87	0.43	-4.34	1.43e-05	9.09e-05	LINC-PINT
3013.77	1.05	0.24	4.33	1.52e-05	9.6e-05	AMD1
2603.92	1.59	0.37	4.33	1.52e-05	9.62e-05	CCND2
1952.11	1.91	0.44	4.32	1.53e-05	9.65e-05	TNFAIP8
21559.04	2.49	0.58	4.32	1.54e-05	9.7e-05	F13A1
1680.89	1.49	0.35	4.32	1.57e-05	9.88e-05	ERAP1
1160.18	1.4	0.32	4.32	1.58e-05	9.93e-05	PDIA6
882.32	1.81	0.42	4.32	1.6e-05	1e-04	TMEM219
541.21	1.8	0.42	4.31	1.61e-05	0.000101	SELENOH
1853.21	1.88	0.43	4.31	1.62e-05	0.000101	NCK2
1328.78	1.92	0.44	4.31	1.63e-05	0.000102	ORMDL3
745.42	1.96	0.46	4.3	1.69e-05	0.000105	KLRB1
1548.72	1.65	0.38	4.3	1.69e-05	0.000105	HIST1H2AE
795.19	1.97	0.46	4.3	1.72e-05	0.000107	APRT
803.95	1.85	0.43	4.3	1.73e-05	0.000107	SNORA61
1222.45	1.73	0.4	4.29	1.75e-05	0.000109	KLRK1
2960.64	1.32	0.31	4.29	1.76e-05	0.000109	ESYT2
7856.92	1.5	0.35	4.29	1.78e-05	0.00011	RPL23AP42
1325.36	1.56	0.36	4.29	1.8e-05	0.000111	HIST1H2AG
855.7	2.13	0.5	4.29	1.82e-05	0.000112	PRMT2
522.16	1.38	0.32	4.28	1.86e-05	0.000114	PSMA5
3898.43	1.38	0.32	4.28	1.88e-05	0.000115	EIF3E
1255	1.45	0.34	4.27	1.93e-05	0.000118	AUP1
644.82	1.41	0.33	4.27	1.96e-05	0.000119	ATP5PD
762.24	1.43	0.33	4.27	1.96e-05	0.00012	VPS26C
2601.38	2.07	0.49	4.27	1.98e-05	0.00012	CXCR2P1
1593.19	1.16	0.27	4.27	2e-05	0.000121	ATP6V1G1
3937.28	-2.41	0.57	-4.26	2.02e-05	0.000123	GSPT1
6456.2	1.23	0.29	4.26	2.03e-05	0.000123	BIN2
13140.62	2.26	0.53	4.26	2.03e-05	0.000123	TUBB1
648.96	-1.77	0.42	-4.26	2.04e-05	0.000123	POLR2J3
6089.31	1.52	0.36	4.26	2.08e-05	0.000125	RAP1B
1465.34	1.69	0.4	4.26	2.08e-05	0.000125	TC2N
1957.93	1.38	0.32	4.25	2.09e-05	0.000126	GLUD1
1256.99	1.55	0.36	4.25	2.13e-05	0.000128	UQCRH
4508.17	1.51	0.36	4.25	2.17e-05	0.00013	SNORD94
3635.93	1.43	0.34	4.24	2.25e-05	0.000134	TUBA1B
12701.04	2.22	0.52	4.24	2.26e-05	0.000135	VCL
1114.87	1.36	0.32	4.24	2.26e-05	0.000135	UBE2L3
3099.68	1.37	0.32	4.23	2.34e-05	0.000139	ARL4C
5143.23	2.27	0.54	4.23	2.36e-05	0.00014	PRKAR2B
1928.16	1.36	0.32	4.22	2.39e-05	0.000141	PLEKHO1
14686.89	-2.58	0.61	-4.22	2.44e-05	0.000144	TENT5C
1326.91	1.15	0.27	4.22	2.47e-05	0.000145	IRAK1
1118.27	1.99	0.47	4.21	2.5e-05	0.000147	CD3G
4856.59	1.36	0.32	4.21	2.56e-05	0.00015	EIF3L
5552.47	1.81	0.43	4.21	2.57e-05	0.00015	IL7R
2986.71	2.2	0.52	4.2	2.63e-05	0.000154	GNG11
10423.53	1.48	0.35	4.2	2.63e-05	0.000154	HIST1H1E
2550.31	1.37	0.33	4.2	2.7e-05	0.000157	SEPT2
3044.83	1.35	0.32	4.2	2.7e-05	0.000157	ADCY7
728.87	1.49	0.36	4.2	2.71e-05	0.000157	LIN7C
3039.78	1.6	0.38	4.2	2.72e-05	0.000158	HIST1H4E
4608.86	-1.3	0.31	-4.19	2.74e-05	0.000158	LCP2
3400.81	1.32	0.31	4.19	2.79e-05	0.000161	SCARNA12
2333.38	1.44	0.34	4.18	2.97e-05	0.00017	TMPO
787.07	1.5	0.36	4.16	3.13e-05	0.000179	UXT
773.85	1.99	0.48	4.16	3.14e-05	0.000179	GZMA
1436.18	1.63	0.39	4.16	3.15e-05	0.00018	C6orf48
690.51	1.89	0.45	4.16	3.16e-05	0.00018	CYB5R1
856.73	1.22	0.29	4.16	3.16e-05	0.00018	SDF4
4198.73	2.17	0.52	4.16	3.21e-05	0.000182	ANO6
994.48	1.38	0.33	4.15	3.26e-05	0.000185	AK2
6980.9	-1.62	0.39	-4.15	3.27e-05	0.000186	MXD1
1918.53	1.19	0.29	4.15	3.31e-05	0.000187	SEC61A1
1291.55	1.47	0.36	4.14	3.45e-05	0.000194	PTDSS1
1619.72	1.25	0.3	4.14	3.52e-05	0.000198	TRIR
7556.33	-1.54	0.37	-4.13	3.56e-05	2e-04	LITAF
168.89	1.77	0.43	4.13	3.61e-05	0.000202	PDCD5
1188.6	1.57	0.38	4.13	3.64e-05	0.000204	SNX17
2566.75	0.98	0.24	4.13	3.67e-05	0.000205	IQGAP2
65896.67	1.5	0.36	4.13	3.68e-05	0.000205	AD000090.1
2382.36	1.18	0.29	4.12	3.79e-05	0.000211	EFCAB14
236153.82	1.92	0.47	4.12	3.83e-05	0.000213	FP671120.3
236099.31	1.92	0.47	4.12	3.84e-05	0.000213	FP236383.3
236120.66	1.92	0.47	4.12	3.84e-05	0.000213	FP236383.2
1945	1.43	0.35	4.12	3.84e-05	0.000213	CMPK1
584.8	1.4	0.34	4.12	3.85e-05	0.000214	ARL2BP
4038.65	1.46	0.35	4.11	3.92e-05	0.000217	NOP53
2584.23	1.2	0.29	4.11	3.93e-05	0.000218	GSTK1
3244.96	1.74	0.42	4.11	3.97e-05	0.00022	ANXA2
476.18	1.75	0.43	4.11	4.02e-05	0.000222	ATP5MC3
42020.14	2.15	0.52	4.1	4.05e-05	0.000223	MT-RNR1
1260.62	1.17	0.28	4.1	4.06e-05	0.000223	DCTN1
837.53	1.41	0.34	4.1	4.14e-05	0.000227	HMGN4
5302.44	2.14	0.52	4.09	4.24e-05	0.000232	GRAP2
2827.44	1.2	0.29	4.09	4.28e-05	0.000234	TUBB
2054.44	1.02	0.25	4.09	4.35e-05	0.000237	TMA7
1973.08	1.3	0.32	4.09	4.37e-05	0.000238	EIF3K
1761.1	1.33	0.32	4.08	4.41e-05	0.000239	ANXA5
194.64	1.78	0.44	4.08	4.48e-05	0.000243	SEC61G
2116.87	1.7	0.42	4.08	4.49e-05	0.000243	AL031777.3
6984.54	1.2	0.3	4.08	4.54e-05	0.000246	EEF1D
674.18	1.16	0.28	4.08	4.55e-05	0.000246	TRMT112
2229.69	0.97	0.24	4.08	4.57e-05	0.000247	STT3B
4974.02	1.18	0.29	4.07	4.62e-05	0.000249	SET
5728.8	1.5	0.37	4.07	4.68e-05	0.000252	HIST1H1C
680.42	1.3	0.32	4.07	4.7e-05	0.000253	MDFIC
3775.17	1.25	0.31	4.07	4.72e-05	0.000254	SCARNA16
1004.05	1.48	0.36	4.07	4.75e-05	0.000256	C12orf57
2466.35	1.54	0.38	4.06	4.81e-05	0.000258	H1FX
1145.45	0.96	0.24	4.06	4.85e-05	0.000259	MAGT1
1821.51	1.25	0.31	4.06	4.86e-05	0.00026	SUMO2
1604.56	1.48	0.37	4.06	4.86e-05	0.00026	ITGB7
147298.59	1.48	0.37	4.06	4.94e-05	0.000263	RNU4-2
1337.01	1.11	0.27	4.06	4.96e-05	0.000264	EIF3I
14905.67	1.19	0.29	4.05	5.02e-05	0.000267	MBNL1
1334.68	1.29	0.32	4.05	5.03e-05	0.000267	TUFM
1516.29	1.23	0.3	4.05	5.06e-05	0.000269	DEK
2798.81	1.63	0.4	4.05	5.14e-05	0.000273	LBH
8030.34	2.88	0.71	4.05	5.16e-05	0.000274	ITGA2B
32.24	2.64	0.65	4.04	5.33e-05	0.000282	SNORD116-15
3285.15	1.1	0.27	4.03	5.46e-05	0.000289	SEPT7
963.92	1.44	0.36	4.03	5.49e-05	0.00029	ATP5PO
4676.73	1.38	0.34	4.03	5.61e-05	0.000295	MIR663AHG
2046.62	0.99	0.25	4.03	5.63e-05	0.000296	SRSF1
103295.67	1.5	0.37	4.03	5.65e-05	0.000297	TMSB4X
968.09	1.39	0.34	4.03	5.67e-05	0.000298	DAD1
552.86	1.54	0.38	4.02	5.7e-05	0.000299	C19orf53
2617.93	1.56	0.39	4.02	5.88e-05	0.000308	SNORA16A
1112.26	-2.61	0.65	-4.02	5.94e-05	0.000311	BAG6
2616.23	1.43	0.36	4.01	6.12e-05	0.000319	HADHA
1774.34	1.23	0.31	4.01	6.13e-05	0.00032	HEATR5B
6574.18	1.11	0.28	4.01	6.14e-05	0.00032	SUN2
2629.1	1.01	0.25	4.01	6.15e-05	0.00032	SPCS3
632.63	-1.94	0.49	-4.01	6.17e-05	0.000321	CCNK
549.37	1.76	0.44	4.01	6.18e-05	0.000321	ATRAID
1690.4	1.79	0.45	4	6.24e-05	0.000324	CD99
9022.94	1.83	0.46	4	6.24e-05	0.000324	RPL9P9
1125.48	1.12	0.28	4	6.27e-05	0.000325	EDEM3
451.74	1.49	0.37	4	6.4e-05	0.000331	NDUFB7
2995.25	1	0.25	3.99	6.51e-05	0.000337	MYL12B
5413.87	1.35	0.34	3.99	6.55e-05	0.000338	MLLT6
430.35	1.52	0.38	3.99	6.7e-05	0.000344	TMEM258
351.4	1.79	0.45	3.99	6.72e-05	0.000345	HIST1H2AK
3203.99	1.41	0.35	3.98	6.93e-05	0.000355	NUP210
4105.05	1.58	0.4	3.98	6.99e-05	0.000357	SNORA74B
3556.03	1.7	0.43	3.97	7.06e-05	0.000361	TMC8
1106.36	1.54	0.39	3.97	7.07e-05	0.000361	PEBP1
696.85	1.51	0.38	3.97	7.12e-05	0.000363	NDUFB8
42722.04	-1.82	0.46	-3.97	7.28e-05	0.000371	NAMPT
2791.9	1.64	0.41	3.97	7.34e-05	0.000373	MFSD1
2243.15	1.62	0.41	3.96	7.41e-05	0.000377	LEPROT
7461.65	1.11	0.28	3.96	7.45e-05	0.000379	SCARNA7
2441.38	1.37	0.35	3.95	7.66e-05	0.000388	EIF3F
1068.71	1.08	0.27	3.95	7.7e-05	0.000389	CPNE3
3703.18	1.08	0.27	3.95	7.75e-05	0.000391	GDI2
587.5	1.64	0.42	3.95	7.76e-05	0.000392	NDUFB11
3311.44	1.01	0.25	3.95	7.77e-05	0.000392	CD164
1945.73	1.52	0.38	3.95	7.83e-05	0.000395	LAMTOR1
13201.61	-1.73	0.44	-3.95	7.94e-05	4e-04	G0S2
852.41	1.33	0.34	3.94	8.03e-05	0.000404	INTS10
969.36	1.2	0.3	3.94	8.05e-05	0.000404	NDUFA1
2110.62	1.16	0.3	3.94	8.11e-05	0.000407	TOP2B
2776.13	0.95	0.24	3.94	8.15e-05	0.000408	RPN1
12542.66	0.95	0.24	3.94	8.16e-05	0.000409	EIF4G2
1393.55	1.41	0.36	3.94	8.16e-05	0.000409	GTF3A
498.36	2.02	0.51	3.94	8.21e-05	0.000411	NDUFA5
809.07	1.32	0.34	3.94	8.29e-05	0.000415	UBE2Q1
2286.42	0.78	0.2	3.93	8.53e-05	0.000426	SPG11
1999.97	1.21	0.31	3.93	8.57e-05	0.000428	CHCHD2
1197.87	1.34	0.34	3.93	8.57e-05	0.000428	NPAT
2455.09	1.12	0.29	3.93	8.62e-05	0.000429	STK38
2650.3	1.25	0.32	3.93	8.65e-05	0.000431	EIF3H
126677.65	1.71	0.43	3.93	8.65e-05	0.000431	MT-RNR2
1127.26	1.35	0.35	3.91	9.28e-05	0.000459	ERGIC3
2263.59	1.3	0.33	3.91	9.28e-05	0.000459	ARF3
251.86	1.75	0.45	3.91	9.29e-05	0.00046	NDUFA3
877.21	1.23	0.31	3.91	9.31e-05	0.00046	NEDD8
2193.72	1.37	0.35	3.91	9.34e-05	0.000461	FLI1
1959.24	1.1	0.28	3.91	9.42e-05	0.000465	FGD5-AS1
3645.88	1.17	0.3	3.9	9.5e-05	0.000468	HSP90B1
857.33	-1.93	0.5	-3.9	9.63e-05	0.000474	MECP2
4386.94	1.56	0.4	3.9	9.64e-05	0.000474	AHR
1980.64	1.49	0.38	3.9	9.81e-05	0.000481	SNORA74A
228.14	1.92	0.49	3.89	9.87e-05	0.000484	DUT
843.87	-1.47	0.38	-3.89	9.87e-05	0.000484	AC012368.1
1625.67	-1.44	0.37	-3.89	9.88e-05	0.000484	THAP9-AS1
340.01	1.65	0.42	3.89	9.97e-05	0.000488	OSTC
754.09	2.42	0.62	3.89	1e-04	0.000489	MLH3
854.33	1.64	0.42	3.88	0.000102	0.000499	GSTO1
877.15	1.25	0.32	3.88	0.000105	0.000511	PSMD8
1096.22	1.34	0.35	3.88	0.000105	0.000511	AC010186.2
605.68	1.82	0.47	3.88	0.000106	0.000514	GZMB
548.83	1.51	0.39	3.88	0.000106	0.000514	ATP5MF
704.46	2.3	0.59	3.87	0.000108	0.000524	ACRBP
1021.1	1.03	0.27	3.87	0.00011	0.00053	LMAN2
1801.95	1.37	0.35	3.87	0.00011	0.000532	COX7C
3729.1	1.87	0.48	3.86	0.000111	0.000536	MTURN
2372.78	1.16	0.3	3.86	0.000112	0.000541	MTDH
1575.5	1.21	0.31	3.86	0.000113	0.000541	PDCD6IP
5462.77	1.47	0.38	3.86	0.000113	0.000541	CALM3
1278.48	1.18	0.31	3.86	0.000113	0.000543	SSR3
13354.89	1.51	0.39	3.86	0.000113	0.000544	SNORD22
2675.57	1.2	0.31	3.86	0.000114	0.000548	EIF3D
1399.47	1.29	0.33	3.85	0.000116	0.000556	PARK7
13.55	2.61	0.68	3.85	0.000117	0.000557	SNORD116-17
13.55	2.61	0.68	3.85	0.000117	0.000557	SNORD116-19
123728.15	0.88	0.23	3.85	0.000117	0.000557	B2M
643.57	1.46	0.38	3.85	0.000117	0.000557	PSMA2
2166.54	0.83	0.22	3.85	0.000117	0.000558	WAPL
311.51	1.71	0.44	3.85	0.000117	0.000559	NDUFA12
1167.07	1.34	0.35	3.85	0.000118	0.000561	NUDT21
